article,vendor_id,country_key,supply_region
10948,8101,AU,8101
49671,8102,AU,8101
61412,8201,AU,8201
83664,8202,AU,8201
15032,8301,AU,8301
20862,8302,AU,8301
31809,8401,AU,8401
23914,8402,AU,8401
56110,8403,AU,8403
23936,8404,AU,8404
20592,8405,AU,8405
40927,100006,AU,1001
62914,100006,AU,1002
31704,100006,AU,1003
27417,100006,AU,1004
15055,100006,AU,1005
79827,100006,AU,1006
35195,100006,AU,1007
80938,100006,AU,1008
29812,100006,AU,1009
95252,100006,AU,1010
56462,100006,AU,1012
48945,100006,AU,1014
41274,100006,AU,1016
33103,100006,AU,1017
72538,100006,AU,1019
70329,100006,AU,1020
68308,100006,AU,1021
29326,100006,AU,1022
68255,100006,AU,1023
88679,100006,AU,1026
81712,100006,AU,1027
26571,100006,AU,1029
16110,100006,AU,1031
16540,100006,AU,1033
72317,100006,AU,1036
20576,100006,AU,1040
45570,100006,AU,1042
68441,100006,AU,1045
85932,100006,AU,1046
59405,100006,AU,1047
84671,100006,AU,1051
39845,100006,AU,1053
94739,100006,AU,1056
24228,100006,AU,1057
57139,100006,AU,1058
58768,100006,AU,1059
59070,100006,AU,1060
52140,100006,AU,1061
23309,100006,AU,1062
47467,100006,AU,1063
38812,100006,AU,1064
47005,100006,AU,1065
54793,100006,AU,1066
53739,100006,AU,1067
48779,100006,AU,1068
76614,100006,AU,1069
98935,100006,AU,1070
15620,100006,AU,1071
34558,100006,AU,1072
89060,100006,AU,1073
13890,100006,AU,1076
30360,100006,AU,1078
95176,100006,AU,1079
26850,100006,AU,1081
40601,100006,AU,1082
34555,100006,AU,1083
72430,100006,AU,1084
59327,100006,AU,1085
44243,100006,AU,1087
11832,100006,AU,1088
12221,100006,AU,1089
99550,100006,AU,1090
20904,100006,AU,1092
37531,100006,AU,1093
98341,100006,AU,1094
60743,100006,AU,1095
55570,100006,AU,1096
36533,100006,AU,1115
44174,100006,AU,1119
20220,100006,AU,1120
41898,100006,AU,1121
27376,100006,AU,1122
76634,100006,AU,1123
35030,100006,AU,1124
50716,100006,AU,1125
48701,100006,AU,1126
60203,100006,AU,1127
53629,100006,AU,1128
34972,100006,AU,1129
52602,100006,AU,1130
97860,100006,AU,1131
33740,100006,AU,1132
96136,100006,AU,1133
81856,100006,AU,1134
48425,100006,AU,1135
18554,100006,AU,1136
86856,100006,AU,1137
52736,100006,AU,1138
14152,100006,AU,1139
64755,100006,AU,1140
41430,100006,AU,1141
86608,100006,AU,1142
71994,100006,AU,1143
61390,100006,AU,1144
56096,100006,AU,1145
14063,100006,AU,1146
71958,100006,AU,1147
95880,100006,AU,1148
27184,100006,AU,1149
36494,100006,AU,1150
30541,100006,AU,1151
83525,100006,AU,1152
44506,100006,AU,1153
32491,100006,AU,1154
95526,100006,AU,1155
79604,100006,AU,1156
90041,100006,AU,1157
46067,100006,AU,1158
96240,100006,AU,1159
49441,100006,AU,1160
18830,100006,AU,1161
10009,100006,AU,1162
56427,100006,AU,1163
89604,100006,AU,1164
35855,100006,AU,1165
96298,100006,AU,1166
73875,100006,AU,1167
57133,100006,AU,1168
93374,100006,AU,1169
70592,100006,AU,1170
34592,100006,AU,1172
58777,100006,AU,1173
54759,100006,AU,1174
66728,100006,AU,1175
77603,100006,AU,1176
17784,100006,AU,1177
40523,100006,AU,1178
94079,100006,AU,1179
82636,100006,AU,1180
60804,100006,AU,1181
19360,100006,AU,1182
81002,100006,AU,1183
26796,100006,AU,1184
32331,100006,AU,1185
77959,100006,AU,1186
44289,100006,AU,1187
92577,100006,AU,1188
99763,100006,AU,1189
48923,100006,AU,1191
25232,100006,AU,1192
78998,100006,AU,1193
78710,100006,AU,1194
46789,100006,AU,1195
10738,100006,AU,1196
12594,100006,AU,1197
71696,100006,AU,1198
38079,100006,AU,1199
20575,100006,AU,1200
27765,100006,AU,1201
91407,100006,AU,1202
51586,100006,AU,1203
85017,100006,AU,1204
90606,100006,AU,1205
99211,100006,AU,1207
99555,100006,AU,1208
85556,100006,AU,1209
84858,100006,AU,1210
90910,100006,AU,1211
66500,100006,AU,1213
10460,100006,AU,1214
53473,100006,AU,1215
65608,100006,AU,1216
39244,100006,AU,1218
25113,100006,AU,1219
86649,100006,AU,1220
56823,100006,AU,1221
69145,100006,AU,1222
62949,100006,AU,1223
67007,100006,AU,1224
61810,100006,AU,1225
27943,100006,AU,1226
80497,100006,AU,1227
36260,100006,AU,1228
19156,100006,AU,1229
72539,100006,AU,1230
65744,100006,AU,1231
39616,100006,AU,1232
36193,100006,AU,1233
56636,100006,AU,1234
77124,100006,AU,1235
17231,100006,AU,1236
68057,100006,AU,1237
14954,100006,AU,1239
26590,100006,AU,1240
32889,100006,AU,1241
67297,100006,AU,1242
31693,100006,AU,1243
56609,100006,AU,1244
46073,100006,AU,1245
27889,100006,AU,1246
99432,100006,AU,1249
11634,100006,AU,1250
35418,100006,AU,1252
61958,100006,AU,1257
20651,100006,AU,1259
83290,100006,AU,1260
11704,100006,AU,1262
40403,100006,AU,1263
92763,100006,AU,1264
44336,100006,AU,1265
28422,100006,AU,1266
53338,100006,AU,1269
15456,100006,AU,1270
61965,100006,AU,1271
42019,100006,AU,1273
52690,100006,AU,1274
61295,100006,AU,1275
60012,100006,AU,1276
31469,100006,AU,1277
86566,100006,AU,1279
54880,100006,AU,1280
31547,100006,AU,1281
61397,100006,AU,1283
78567,100006,AU,1285
81003,100006,AU,1286
27858,100006,AU,1288
59202,100006,AU,1289
31896,100006,AU,1290
68691,100006,AU,1291
28272,100006,AU,1292
10054,100006,AU,1293
20367,100006,AU,1294
37483,100006,AU,1295
96667,100006,AU,1296
16758,100006,AU,1297
65721,100006,AU,1299
94961,100006,AU,1301
55890,100006,AU,1302
15317,100006,AU,1303
80536,100006,AU,1304
51134,100006,AU,1306
54697,100006,AU,1309
87676,100006,AU,1310
77028,100006,AU,1312
31150,100006,AU,1314
65940,100006,AU,1315
60028,100006,AU,1316
52120,100006,AU,1317
62408,100006,AU,1318
63904,100006,AU,1320
71476,100006,AU,1321
75194,100006,AU,1322
83197,100006,AU,1325
58091,100006,AU,1326
38083,100006,AU,1329
39988,100006,AU,1330
67441,100006,AU,1334
65604,100006,AU,1335
95807,100006,AU,1336
27917,100006,AU,1337
43605,100006,AU,1338
74662,100006,AU,1339
52707,100006,AU,1340
61686,100006,AU,1344
53576,100006,AU,1345
96763,100006,AU,1346
21943,100006,AU,1347
82704,100006,AU,1348
66259,100006,AU,1349
98007,100006,AU,1351
84308,100006,AU,1352
15094,100006,AU,1353
18061,100006,AU,1354
70126,100006,AU,1355
85774,100006,AU,1356
94763,100006,AU,1358
29994,100006,AU,1360
